TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,PAYMENT_NUM,STORE_NM,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
a_a004739,2210020002,3,0,2,아침고요수목원,1.0,22.0,대인
a_a002397,2209170002,3,1,1,에버랜드 ,4.0,33.0,
a_a017904,2211110007,1,0,2,금별맥주,1.0,31.4,봄베이토닉하이볼;호세쿠엘보;바지락버터술찜;파스타면
a_a018111,2211130004,1,0,2,주식회사필모어,1.0,48.0,4.LASAGNA;7.GNOCCHI;COKE
a_a005012,2210120010,1,0,1,박가네푸드시스템 주식회사,1.0,10.0,
a_a006402,2210080005,2,1,1,GS25,1.0,4.5,에쎄체인지1
a_a000413,2208310003,1,0,1,동대문크레페,5.0,6.0,
a_a001383,2208270005,1,1,1,아비꼬,1.0,9.8,아비꼬
a_a005075,2210020005,6,0,3,엄마네,1.0,21.999,
a_a000269,2208210008,1,0,2,그리운보리밥,1.0,27.0,
a_a011069,2210230001,1,0,1,1인1잔,1.0,5.5,아메리카노
a_a000272,2208160004,1,0,3,씨유메이필드호텔점,1.0,20.94,HEYROO미네랄워터P500;누가바;바밤바골드;꼬북칩콘스프맛;주)치킨마요삼각김밥1;장자미니족발;신라면큰사발컵;종가집맛김치용기75G;오뚜기)참깨라면컵;천하장사일반바90G
a_a006776,2210150004,1,0,2,문지리535,1.0,26.0,
a_a003257,2209250007,2,0,1,(주)북스리브로 수원점,1.0,36.5,경제기사궁금증300문300답;[스마텍] 3M C타입 케이블;죠르디 수면안대
a_a004632,2210150002,1,0,2,포가레이,1.0,26.0,직화소고기쌀국수;곱창;0.5단계;커플세트
a_a003581,2210020001,3,1,2,가래골농원캠핑장,3.0,24.0,
a_a002957,2209240004,3,2,1,고척스카이돔,1.0,22.0,WIN THE CHAMPIONSHIP 야구관람권
a_a001525,2209040009,1,0,2,퀴시미뇽대학로,1.0,12.4,에그타르트;카페라떼(H);리얼 초코 라떼(H)
a_a000787,2208270006,3,0,2,덕수궁,1.0,2.0,입장권
a_a006613,2210080005,1,0,2,이진상회,3.0,11.0,
a_a011185,2210310002,1,0,1,할머니의레시피-주)뷰로102,1.0,8.0,버섯불고기(120G)
a_a006260,2210150003,2,5,1,에프알엘코리아 주식회사,1.0,39.9,유니클로
a_a000510,2208200004,3,0,2,월미테마파크,1.0,14.0,
a_a000613,2208220004,1,0,2,정정아식당,1.0,29.0,
a_a012117,2210300005,1,4,1,롯데리아,1.0,2.2,양념감자-오니언
a_a000265,2208170002,1,0,2,진저베어,1.0,31.0,
a_a007621,2210220002,1,0,1,서울앵무새,1.0,25.6,버터밀크시나몬롤;비닐봉투;초코파이퀸아망포장;카야퀸아망포장;하비스트쿠키(초코)포장;하비스트쿠키(황치즈)포장;ICED아메리카노(코카)
a_a007777,2210220002,3,1,4,국립과천과학관,1.0,8.0,관람권 상설 무료 경로우대;관람권 상설 무료 성인
a_a000061,2208140003,1,0,2,부빙,1.0,18.0,
a_a008553,2210220003,3,1,1,주식회사인터파크,1.0,2.5,한국만화박물관입장권
a_a001835,2209240004,1,1,1,조원관광진흥㈜,1.0,7.0,잔치국수
