,TRAVEL_LENGTH,visit_move_cnt,total_payment,total_payment_per_day,visit_move_cnt_per_day,actual,predicted,predicted_proba
3162,4,9,-0.1680780764427514,-0.3122989672305158,2.25,0,0,0.49764953283611446
4629,3,18,1.1906448610052116,1.2139080417956254,6.0,0,0,0.4385227950301085
3176,3,15,-0.2936743143581093,-0.3553013397043122,5.0,0,0,0.4504619057018781
5545,2,6,-0.1652236164901296,-0.0384417530552863,3.0,0,0,0.4895644409314519
1097,3,8,-0.0196461589064193,-0.0656011461966314,2.6666666666666665,0,0,0.4877705836319442
3935,3,8,0.5455369117126913,0.5319055029129601,2.6666666666666665,0,0,0.4877705836319442
3768,2,8,-0.0795898179114765,0.0973552126514389,4.0,0,0,0.4693834612579633
3196,3,12,0.2344007768769182,0.2029750748677809,4.0,0,0,0.4654613492026853
156,2,6,-0.0453362984800152,0.1516739989341291,3.0,0,0,0.4908441370962601
3458,2,9,-0.4449606918470632,-0.4820451743639225,4.5,0,0,0.47688332685507573
1055,3,8,-0.1823503762058603,-0.2376106360918169,2.6666666666666665,0,0,0.4933024230801429
4357,2,5,-0.0910076577219636,0.0792489505572089,2.5,0,0,0.49191669290431883
3658,3,9,-0.1166977972955595,-0.168203298063935,3.0,0,0,0.48807187359219434
132,2,8,-0.3222189138843271,-0.2874028568509495,4.0,0,0,0.4777111154722742
747,3,11,0.4570486531814164,0.4383564820927715,3.6666666666666665,0,0,0.4803637328161445
4645,4,15,1.1021566024739369,0.6948618617610306,3.75,0,0,0.4573273117848445
4680,2,8,-0.4164160923208455,-0.4367795191283474,4.0,0,0,0.48138538308468
1220,2,9,-0.2565663349740263,-0.1832918498091267,4.5,0,0,0.4733989001544431
5585,2,5,-0.273693094689757,-0.2104512429504718,2.5,0,0,0.4945633628929767
534,5,26,2.8890485328151656,1.573015573331188,5.2,0,0,0.45401313824615613
501,5,11,6.996616404637893,4.178506688690892,2.2,0,0,0.4829425378140008
655,3,10,-0.2908198544054876,-0.3522836293552739,3.333333333333333,0,0,0.48624752967880897
4653,2,11,0.4056683740342245,0.866871351656216,5.5,0,0,0.45199816156731665
5466,2,6,-0.31080107407384,-0.2692965947567194,3.0,0,0,0.4974957159172333
4756,2,6,-0.273693094689757,-0.2104512429504718,3.0,0,0,0.49349064134472514
5660,2,5,-0.3992893326051149,-0.4096201259870023,2.5,0,0,0.49891385628533413
2759,3,10,-0.2308761954004304,-0.2889117120254686,3.333333333333333,0,0,0.48845693560584164
2384,4,12,-0.1024254975324507,-0.2602434637096044,3.0,0,0,0.4767750805139053
5331,2,9,-0.4649419115154156,-0.5137311330288251,4.5,0,0,0.47688332685507573
3803,2,9,-0.3307822937421923,-0.300982553421622,4.5,0,0,0.47785027293082394
3528,2,7,1.5331800553198245,2.6548647334614333,3.5,0,0,0.4841569344623481
2388,3,7,3.4856306629131155,3.6401471624224513,2.333333333333333,0,0,0.48762981586750137
5635,2,5,0.0146073605250418,0.2467318749288368,2.5,0,0,0.49191669290431883
4127,2,5,-0.4820686712311463,-0.5408905261701702,2.5,0,0,0.49582767562945845
4683,3,25,1.6644852131404255,1.7148479597359898,8.333333333333334,0,0,0.4223215115833716
3341,2,6,-0.3507635134105448,-0.3326685120865246,3.0,0,0,0.4952850105825455
3686,3,9,0.7881660076855418,0.7884108825812192,3.0,0,0,0.48262256400481185
1700,3,7,0.3856871543658721,0.362913723366813,2.333333333333333,0,0,0.4877705836319442
1586,3,7,0.1145134588668038,0.0762312402081706,2.333333333333333,0,0,0.4877705836319442
325,3,11,-0.1766414563006167,-0.2315752153937402,3.6666666666666665,0,0,0.485670747884209
1777,2,6,-0.3050921541685965,-0.2602434637096044,3.0,0,0,0.4974957159172333
4943,2,6,-0.4335428520365761,-0.4639389122696925,3.0,0,0,0.49916075357295964
4517,3,6,0.5455369117126913,0.5319055029129601,2.0,0,0,0.49802298619911334
2083,3,6,0.2458186166874053,0.2150459162639343,2.0,0,0,0.49802298619911334
1520,3,8,0.4656120330392817,0.4474096131398866,2.6666666666666665,0,0,0.4877705836319442
2654,4,13,-0.4164160923208455,-0.5092045675052677,3.25,0,0,0.4664907002488995
2803,3,9,0.3029078157398407,0.2754001232447011,3.0,0,0,0.4827632482431916
346,2,7,-0.0824442778640983,0.0928286471278814,3.5,0,0,0.48429764729791314
2218,3,7,0.3685603946501415,0.3448074612725829,2.333333333333333,0,0,0.4877705836319442
3320,3,6,0.1259312986772909,0.0883020816043239,2.0,0,0,0.49802298619911334
5317,2,7,-0.422125012226089,-0.4458326501754625,3.5,0,0,0.49314979665848446
101,2,9,-0.410707172415602,-0.4277263880812324,4.5,0,0,0.481524624080583
1872,2,5,-0.3764536529841407,-0.3734076017985422,2.5,0,0,0.49891385628533413
932,4,14,0.3799782344606285,0.1222513230310052,3.5,0,0,0.48138905864651366
5696,2,6,-0.4506696117523068,-0.4910983054110375,3.0,0,0,0.49916075357295964
4409,3,14,-0.0082283190959322,-0.053530304800478,4.666666666666667,0,0,0.4672917555525424
3703,2,6,-0.3878714927946278,-0.3915138638927723,3.0,0,0,0.4996753025004159
4420,3,20,0.1259312986772909,0.0883020816043239,6.666666666666667,0,0,0.4492742247931676
2067,3,11,-0.2651297148318917,-0.3251242362139288,3.6666666666666665,0,0,0.48624752967880897
4590,5,18,1.6045415541353685,0.7582337790908357,3.6,0,0,0.47189208725095194
157,3,12,0.3514336349344109,0.3267011991783529,4.0,0,0,0.4654613492026853
3286,3,14,0.2201284771138094,0.1878865231225892,4.666666666666667,0,0,0.4672917555525424
3026,3,5,0.000335060761933,-0.044477173753363,1.6666666666666667,0,0,0.4938181047608323
2655,2,8,-0.3935804126998714,-0.4005669949398873,4.0,0,0,0.48138538308468
167,2,6,-0.4335428520365761,-0.4639389122696925,3.0,0,0,0.49916075357295964
5479,2,5,-0.4335428520365761,-0.4639389122696925,2.5,0,0,0.498399310375356
4540,4,14,0.648297470007075,0.3349999026382083,3.5,0,0,0.48138905864651366
1831,3,8,-0.4049982525103584,-0.4729920433168075,2.6666666666666665,0,0,0.49135955373943985
1335,2,8,-0.385017032842006,-0.3869872983692148,4.0,0,0,0.48138538308468
1163,2,5,-0.410707172415602,-0.4277263880812324,2.5,0,0,0.49891385628533413
5239,2,8,-0.2794020145950005,-0.2195043739975868,4.0,0,0,0.47325986407177023
1870,3,5,0.1487669782982651,0.1124437643966307,1.6666666666666667,0,0,0.4938181047608323
3885,3,16,0.9280345453640086,0.9362786896840978,5.333333333333333,0,0,0.4385227950301085
3691,2,6,-0.5020498908994987,-0.5725764848350728,3.0,0,0,0.4965890795726469
4076,3,7,-0.1937682160163474,-0.2496814774879703,2.333333333333333,0,0,0.4933024230801429
2688,2,6,-0.4563785316575503,-0.5001514364581526,3.0,0,0,0.49916075357295964
80,3,7,-0.3050921541685965,-0.3673721811004655,2.333333333333333,0,0,0.4918831703993006
4695,4,12,1.670194133045669,1.145255131355003,3.0,0,0,0.4868482601830921
3831,3,18,-0.1366790169639119,-0.1893272705072034,6.0,0,0,0.43857515112075585
